id_cliente;data_compra;valor;categoria
CLI00002;01/11/2024;154,83;Móveis
CLI00003;13/09/2023;510,54;Informática
CLI00003;10/02/2024;156,42;Eletro
CLI00003;11/03/2024;454,15;Informática
CLI00003;28/04/2025;299,74;Cama/Mesa/Banho
CLI00003;17/10/2025;189,5;Eletro
CLI00004;03/03/2024;1351,13;Informática
CLI00004;07/09/2025;2295,18;Móveis
CLI00005;18/10/2023;552,85;Cama/Mesa/Banho
CLI00013;27/06/2023;964,9;Eletro
CLI00013;07/05/2024;399,39;Móveis
CLI00013;17/07/2025;1509,8;Eletro
CLI00013;26/08/2025;2381,51;Cama/Mesa/Banho
CLI00013;18/11/2025;709,07;Informática
CLI00014;29/01/2025;223,57;Cama/Mesa/Banho
CLI00014;07/05/2025;1049,5;Móveis
CLI00014;30/11/2025;442,21;Informática
CLI00015;18/10/2024;1611,92;Cama/Mesa/Banho
CLI00015;08/04/2025;370,66;Informática
CLI00015;07/11/2025;308,25;Cama/Mesa/Banho
CLI00017;15/10/2024;453,97;Móveis
CLI00018;23/08/2024;411,9;Móveis
CLI00018;10/11/2024;848,34;Informática
CLI00018;01/08/2025;286,33;Cama/Mesa/Banho
CLI00020;13/04/2024;3237,55;Informática
CLI00021;26/01/2024;466,79;Cama/Mesa/Banho
CLI00021;21/07/2024;354,65;Informática
CLI00022;07/12/2024;348,69;Cama/Mesa/Banho
CLI00023;14/10/2024;1284,94;Móveis
CLI00026;13/07/2024;3332,89;Cama/Mesa/Banho
CLI00026;29/09/2025;754,61;Móveis
CLI00027;26/09/2023;355,99;Informática
CLI00027;23/03/2024;1490,24;Informática
CLI00027;19/04/2025;3002,32;Móveis
CLI00027;15/11/2025;321,38;Cama/Mesa/Banho
CLI00027;12/01/2026;720,05;Eletro
CLI00028;08/04/2025;4078,99;Eletro
CLI00029;26/03/2024;523,72;Cama/Mesa/Banho
CLI00029;21/08/2024;520,55;Informática
CLI00029;19/10/2024;640,23;Móveis
CLI00030;03/04/2024;654,93;Cama/Mesa/Banho
CLI00030;07/03/2025;1066,2;Informática
CLI00032;29/09/2023;967,16;Cama/Mesa/Banho
CLI00032;07/05/2024;747,78;Eletro
CLI00032;23/09/2025;761,53;Eletro
CLI00032;27/11/2025;877,59;Informática
CLI00034;09/10/2023;900,61;Eletro
CLI00034;01/12/2023;558,5;Eletro
CLI00034;27/02/2026;1941,42;Móveis
CLI00035;19/07/2024;572,1;Informática
CLI00036;25/08/2024;183,8;Informática
CLI00037;05/12/2023;971,31;Eletro
CLI00037;23/12/2024;717,44;Informática
CLI00037;06/11/2025;613,6;Eletro
CLI00039;07/09/2023;2017,85;Eletro
CLI00040;14/01/2025;862,36;Cama/Mesa/Banho
CLI00040;30/01/2026;435,89;Móveis
CLI00041;17/12/2023;399,04;Informática
