id_contrato;id_cliente;data_venda;loja;canal_venda;valor_total;n_parcelas;valor_parcela;bairro;sexo;idade;renda_declarada;status_contrato;data_snapshot
C00001;CLI00533;04/05/2025;Centro;Loja física;1014,95;10;101,5;Jardim América;F;27;6104,01;Quitado;15/03/2026
C00003;CLI00116;16/03/2025;Zona Leste;Site;2494,27;12;207,86;Vila Progresso;F;61;3944,55;Quitado;15/03/2026
C00004;CLI00930;16/11/2024;Zona Leste;Loja física;1516,74;10;151,67;Alto da Serra;M;39;1492,09;Inadimplente;15/03/2026
C00005;CLI02675;15/09/2024;Centro;Site;9349,93;12;779,16;Cidade Nova;M;34;2230,13;Inadimplente;15/03/2026
C00007;CLI00506;11/05/2025;Shopping Norte;Loja física;1974,4;12;164,53;Jardim América;M;27;1861,14;Inadimplente;15/03/2026
C00008;CLI02207;23/11/2024;Online;Loja física;3407,65;18;189,31;Cidade Nova;M;36;3337,85;Em dia;15/03/2026
C00009;CLI01444;10/02/2025;Shopping Norte;Televendas;2032,89;6;338,82;Parque das Flores;M;45;2976,42;Inadimplente;15/03/2026
C00010;CLI01892;18/06/2024;Zona Leste;Loja física;1323,77;12;110,31;Alto da Serra;M;40;1996,69;Quitado;15/03/2026
C00012;CLI00993;24/09/2024;Zona Leste;Loja física;1466,7;10;146,67;Vila Progresso;M;29;3817,89;Quitado;15/03/2026
C00013;CLI01305;07/10/2024;Online;Loja física;3652,6;18;202,92;Cidade Nova;M;18;3919,16;Inadimplente;15/03/2026
C00014;CLI01984;21/06/2025;Zona Leste;Loja física;1606,26;18;89,24;Vila Progresso;F;33;4675,92;Inadimplente;15/03/2026
C00015;CLI01701;01/11/2025;Zona Leste;Loja física;1955,35;18;108,63;Jardim Botânico;M;45;1973,2;Em dia;15/03/2026
C00016;CLI00715;14/09/2024;Shopping Norte;Loja física;2039,37;18;113,3;Bela Vista;F;54;2095,82;Inadimplente;15/03/2026
C00017;CLI00827;25/09/2025;Online;Loja física;3051,53;12;254,29;Cidade Nova;F;48;4632,83;Inadimplente;15/03/2026
C00018;CLI02112;07/11/2025;Online;Loja física;4393,32;10;439,33;Jardim América;M;43;1414,77;Inadimplente;15/03/2026
C00019;CLI02101;10/09/2025;Zona Leste;Loja física;863,86;10;86,39;Centro;F;52;3108,39;Inadimplente;15/03/2026
C00020;CLI01145;28/08/2025;Centro;Loja física;1745,38;6;290,9;Centro;F;52;2283,33;Quitado;15/03/2026
C00021;CLI01278;04/06/2025;Zona Leste;Televendas;3670,38;6;611,73;Vila Progresso;M;18;9243,37;Inadimplente;15/03/2026
C00022;CLI01227;18/09/2024;Shopping Norte;Loja física;3506,19;24;146,09;Jardim América;F;43;2112,06;Em dia;15/03/2026
C00023;CLI01990;30/09/2025;Shopping Norte;Loja física;2211,15;18;122,84;Vila Progresso;F;78;4230,53;Inadimplente;15/03/2026
C00024;CLI01400;30/08/2025;Centro;Loja física;2107,76;10;210,78;Jd. America;F;56;3024,79;Em dia;15/03/2026
C00025;CLI02088;23/02/2025;Centro;Loja física;1741,14;18;96,73;Centro;F;71;1604,78;Em dia;15/03/2026
C00026;CLI00358;18/07/2024;Zona Leste;Televendas;5571,17;24;232,13;Jardim América;F;47;5892,46;Em dia;15/03/2026
C00027;CLI01773;31/01/2025;Centro;Loja física;14000,0;10;1400,0;Jardim América;M;43;3401,61;Inadimplente;15/03/2026
C00028;CLI02656;05/11/2024;Shopping Norte;Loja física;4192,32;10;419,23;Jardim América;M;56;3303,66;Inadimplente;15/03/2026
C00029;CLI01900;21/06/2025;Centro;Site;791,93;12;65,99;Vila Progresso;F;32;4234,96;Inadimplente;15/03/2026
C00030;CLI01614;07/12/2024;Zona Leste;Televendas;989,43;18;54,97;Vila Progresso;M;42;2915,72;Em dia;15/03/2026
C00031;CLI02438;08/04/2025;Centro;Televendas;1230,8;10;123,08;Parque das Flores;F;39;4657,57;Inadimplente;15/03/2026
C00032;CLI00209;01/09/2024;Centro;Loja física;3383,14;6;563,86;Jardim Botânico;M;39;1384,1;Inadimplente;15/03/2026
C00033;CLI01853;17/06/2025;Zona Leste;Televendas;2157,57;24;89,9;Parque das Flores;F;47;4443,84;Em dia;15/03/2026
C00034;CLI01907;21/08/2024;Online;Loja física;2009,43;12;167,45;Jardim América;M;51;1801,53;Inadimplente;15/03/2026
C00035;CLI00344;31/05/2025;Zona Leste;Loja física;1411,68;12;117,64;Jardim América;F;31;1582,5;Em dia;15/03/2026
C00036;CLI01444;24/01/2025;Centro;Loja física;4252,14;6;708,69;Bela Vista;M;41;2934,54;Inadimplente;15/03/2026
C00037;CLI02115;23/03/2025;Shopping Norte;Loja física;1459,15;6;243,19;Jardim Botânico;F;31;4504,23;Quitado;15/03/2026
C00038;CLI01080;30/06/2024;Centro;Televendas;1774,87;24;73,95;Jardim Botânico;F;41;1814,39;Em dia;15/03/2026
C00039;CLI00003;22/01/2025;Shopping Norte;Loja física;4759,38;12;396,62;Vila Progresso;F;34;2902,17;Inadimplente;15/03/2026
C00040;CLI02694;14/02/2025;Online;Loja física;1236,3;6;206,05;Alto da Serra;M;30;1488,84;Inadimplente;15/03/2026
C00041;CLI00134;18/11/2024;Zona Leste;Loja física;1012,87;12;84,41;Jardim Botânico;F;27;3819,5;Quitado;15/03/2026
C00042;CLI00286;16/08/2025;Centro;Loja física;1154,11;12;96,18;Jardim América;M;47;2405,54;Em dia;15/03/2026
C00043;CLI01319;31/10/2025;Shopping Norte;Loja física;2122,54;12;176,88;Vila Progresso;M;49;2844,25;Inadimplente;15/03/2026
C00044;CLI01100;25/08/2024;Shopping Norte;Loja física;1108,75;18;61,6;Jardim América;M;34;3815,58;Quitado;15/03/2026
C00045;CLI02448;09/03/2025;Centro;Loja física;4789,11;12;399,09;Parque das Flores;F;64;2340,61;Quitado;15/03/2026
C00046;CLI00660;15/04/2025;Centro;Televendas;1722,14;6;287,02;Alto da Serra;F;36;1378,87;Inadimplente;15/03/2026
C00047;CLI00469;19/02/2025;Shopping Norte;Site;1988,0;12;165,67;Centro;M;44;4675,5;Quitado;15/03/2026
C00048;CLI00680;07/11/2025;Shopping Norte;Loja física;5385,01;18;299,17;Vila Progresso;M;29;1311,11;Inadimplente;15/03/2026
C00049;CLI01263;07/12/2024;Zona Leste;Loja física;1607,38;12;133,95;Cidade Nova;M;50;4080,78;Inadimplente;15/03/2026
C00050;CLI02742;04/12/2024;Centro;Site;1554,2;12;129,52;Vila Progresso;M;46;2104,46;Inadimplente;15/03/2026
C00051;CLI00048;15/11/2024;Online;Loja física;1721,36;24;71,72;Vila Progresso;M;30;3085,28;Em dia;15/03/2026
C00052;CLI01279;07/03/2025;Shopping Norte;Site;1523,54;12;126,96;Jardim América;M;37;1604,94;Inadimplente;15/03/2026
C00053;CLI00780;05/10/2025;Shopping Norte;Site;1619,96;18;90,0;Jd. America;M;22;1815,05;Em dia;15/03/2026
C00054;CLI02689;19/09/2025;Shopping Norte;Loja física;6266,38;12;522,2;Bela Vista;M;33;5109,21;Em dia;15/03/2026
C00055;CLI01133;28/06/2025;Zona Leste;Loja física;6227,43;10;622,74;Parque das Flores;F;58;2864,29;Inadimplente;15/03/2026
C00056;CLI01048;17/06/2025;Shopping Norte;Loja física;2169,79;6;361,63;Vila Progresso;F;58;2054,17;Inadimplente;15/03/2026
C00057;CLI02734;22/02/2025;Zona Leste;Loja física;1695,25;12;141,27;Jd. America;F;38;2176,0;Quitado;15/03/2026
C00058;CLI00827;17/09/2025;Shopping Norte;Loja física;1346,61;10;134,66;Centro;F;47;1692,27;Em dia;15/03/2026
C00059;CLI01924;16/05/2025;Centro;Loja física;2157,96;18;119,89;Vila Progresso;M;27;4719,74;Em dia;15/03/2026
C00060;CLI01490;20/10/2025;Shopping Norte;Loja física;984,53;18;54,7;Jardim América;F;108;1354,76;Inadimplente;15/03/2026
C00061;CLI01818;15/07/2024;Shopping Norte;Loja física;4975,61;6;829,27;Jardim Botânico;M;55;4709,41;Quitado;15/03/2026
C00062;CLI00583;13/09/2025;Centro;Loja física;2078,83;18;115,49;Vila Progresso;F;32;2731,73;Inadimplente;15/03/2026
C00063;CLI01770;07/12/2024;Zona Leste;Site;4270,6;24;177,94;Bela Vista;F;56;4935,69;Inadimplente;15/03/2026
C00065;CLI01318;04/03/2025;Centro;Televendas;2114,69;12;176,22;Vila Progresso;F;47;3193,19;Quitado;15/03/2026
C00068;CLI01173;21/06/2024;Centro;Site;2202,93;24;91,79;Jardim América;F;20;2957,23;Inadimplente;15/03/2026
C00069;CLI01163;23/06/2024;Online;Site;1526,35;12;127,2;Vila Progresso;F;46;4655,7;Inadimplente;15/03/2026
C00070;CLI00493;26/09/2024;Shopping Norte;Loja física;710,93;24;29,62;Parque das Flores;M;47;2628,07;Em dia;15/03/2026
C00071;CLI00304;22/05/2025;Zona Leste;Loja física;1244,56;24;51,86;Jardim Botânico;F;41;1388,61;Em dia;15/03/2026
C00072;CLI00293;23/01/2025;Centro;Loja física;3231,78;12;269,32;Jd. America;F;38;1761,12;Inadimplente;15/03/2026
C00073;CLI01870;01/11/2024;Online;Loja física;849,88;10;84,99;Cidade Nova;M;30;1209,82;Inadimplente;15/03/2026
C00074;CLI02399;28/12/2024;Zona Leste;Loja física;3379,66;6;563,28;Jardim América;F;57;5321,92;Inadimplente;15/03/2026
C00075;CLI01352;18/12/2024;Zona Leste;Loja física;2278,0;18;126,56;Bela Vista;F;31;6092,87;Em dia;15/03/2026
C00076;CLI00426;07/07/2024;Centro;Loja física;853,03;24;35,54;Parque das Flores;M;54;3014,02;Em dia;15/03/2026
C00077;CLI02441;02/10/2025;Centro;Loja física;990,72;18;55,04;Cidade Nova;F;18;4063,94;Inadimplente;15/03/2026
C00078;CLI02589;01/11/2025;Centro;Televendas;1920,62;12;160,05;Bela Vista;F;52;2682,19;Em dia;15/03/2026
C00080;CLI00033;28/06/2025;Zona Leste;Loja física;4466,73;12;372,23;Bela Vista;F;39;1956,31;Em dia;15/03/2026
C00081;CLI00724;06/07/2024;Shopping Norte;Site;2680,14;6;446,69;Alto da Serra;M;65;3010,44;Inadimplente;15/03/2026
C00083;CLI00279;19/07/2024;Online;Loja física;6197,44;10;619,74;Parque das Flores;F;33;2671,85;Inadimplente;15/03/2026
C00086;CLI00163;24/04/2025;Zona Leste;Loja física;951,01;10;95,1;Jardim América;F;48;4398,58;Quitado;15/03/2026
C00087;CLI01860;15/09/2024;Centro;Televendas;4678,32;12;389,86;Bela Vista;M;46;2821,12;Inadimplente;15/03/2026
C00088;CLI01840;09/09/2024;Online;Televendas;2424,86;12;202,07;Alto da Serra;F;47;4141,75;Quitado;15/03/2026
C00089;CLI02456;26/06/2025;Shopping Norte;Site;2151,39;12;179,28;Vila Progresso;F;44;3329,77;Inadimplente;15/03/2026
C00090;CLI01492;01/08/2025;Zona Leste;Site;2559,97;18;142,22;Centro;F;46;3097,3;Inadimplente;15/03/2026
C00091;CLI02589;22/04/2025;Zona Leste;Loja física;1738,82;18;96,6;Jardim América;F;46;4460,33;Em dia;15/03/2026
C00092;CLI02494;27/01/2025;Online;Loja física;1274,84;10;127,48;Parque das Flores;F;37;2395,12;Quitado;15/03/2026
C00093;CLI00947;04/10/2025;Shopping Norte;Loja física;2068,81;12;172,4;Parque das Flores;M;53;3643,11;Em dia;15/03/2026
C00094;CLI02765;01/10/2025;Online;Loja física;485,92;12;40,49;Cidade Nova;M;21;3843,89;Em dia;15/03/2026
C00095;CLI02068;29/10/2025;Zona Leste;Televendas;1236,54;10;123,65;Vila Progresso;F;62;1075,49;Inadimplente;15/03/2026
C00096;CLI00502;01/07/2025;Zona Leste;Loja física;688,49;12;57,37;Bela Vista;F;57;1129,48;Em dia;15/03/2026
C00097;CLI00327;30/08/2024;Centro;Loja física;966,42;6;161,07;Alto da Serra;F;26;2832,47;Quitado;15/03/2026
C00099;CLI02096;02/10/2025;Centro;Loja física;2362,2;6;393,7;Parque das Flores;F;31;5183,08;Em dia;15/03/2026
C00100;CLI01724;26/07/2024;Shopping Norte;Televendas;2049,0;12;170,75;Bela Vista;F;42;2589,65;Quitado;15/03/2026
C00101;CLI00241;29/03/2025;Centro;Loja física;3591,46;12;299,29;Jardim Botânico;F;33;2157,63;Inadimplente;15/03/2026
C00102;CLI00333;07/11/2024;Centro;Televendas;2256,5;10;225,65;Jardim América;M;29;2616,64;Quitado;15/03/2026
C00103;CLI00015;07/06/2025;Centro;Loja física;1039,7;18;57,76;Alto da Serra;F;48;3705,84;Em dia;15/03/2026
C00104;CLI02155;03/05/2025;Shopping Norte;Site;3344,39;10;334,44;Jd. America;F;53;2117,18;Inadimplente;15/03/2026
C00105;CLI01481;07/07/2024;Shopping Norte;Site;2114,83;18;117,49;Jardim Botânico;M;47;3644,85;Quitado;15/03/2026
C00106;CLI00130;27/05/2025;Shopping Norte;Televendas;1506,14;12;125,51;Bela Vista;M;39;5081,81;Em dia;15/03/2026
C00107;CLI00028;26/10/2024;Online;Loja física;1924,37;18;106,91;Jardim Botânico;M;52;2621,68;Inadimplente;15/03/2026
C00108;CLI01571;08/08/2025;Shopping Norte;Televendas;656,42;12;54,7;Jardim Botânico;F;32;4392,36;Em dia;15/03/2026
C00109;CLI01385;02/07/2025;Zona Leste;Loja física;926,1;6;154,35;Jardim América;M;18;5320,7;Inadimplente;15/03/2026
C00110;CLI01984;23/08/2024;Zona Leste;Loja física;1162,77;10;116,28;Vila Progresso;M;37;2995,31;Quitado;15/03/2026
C00111;CLI02647;23/02/2025;Shopping Norte;Loja física;1591,93;18;88,44;Vila Progresso;M;22;1331,6;Inadimplente;15/03/2026
C00112;CLI01169;02/11/2024;Zona Leste;Loja física;1653,71;6;275,62;Vila Progresso;F;44;5288,74;Inadimplente;15/03/2026
