id_contrato;probabilidade
C00867;97.21%
C01930;97.16%
C00889;95.62%
C03373;95.08%
C01498;94.29%
C00326;94.24%
C01172;93.82%
C02553;93.74%
C03033;93.03%
C02923;92.90%
C03139;92.80%
C02133;92.79%
C00976;92.78%
C02403;92.75%
C00696;92.58%
C01690;90.85%
C01195;90.69%
C02677;89.86%
C00675;88.92%
C02658;88.59%
C02346;88.17%
C01922;87.91%
C02291;87.64%
C01230;87.20%
C01243;86.62%
C00891;86.61%
C00429;86.33%
C02976;86.18%
C02416;86.03%
C03100;85.51%
C00300;85.46%
C01194;85.42%
C00471;85.35%
C03248;85.32%
C03276;85.01%
C00048;84.67%
C00522;83.00%
C00201;82.90%
C01898;82.45%
C00018;82.16%
C00999;82.02%
C02612;81.67%
C00577;81.65%
C02760;81.42%
C03064;81.21%
C00875;81.19%
C00535;81.01%
C02835;80.73%
C03389;80.65%
C01228;80.57%
C00847;80.11%
C01589;80.05%
C01819;79.75%
C00424;79.30%
C02020;79.25%
C00245;79.24%
C01287;79.16%
C00583;78.94%
C00605;78.66%
C00234;78.34%
C02021;78.33%
C01415;78.27%
C03037;77.91%
C00863;77.82%
C02294;77.51%
C02524;77.46%
C01720;77.35%
C00736;77.21%
C02209;76.97%
C02690;76.85%
C02504;76.73%
C02718;76.61%
C02559;76.42%
C01127;76.03%
C01214;76.00%
C02589;76.00%
C00589;75.85%
C02423;75.66%
C00228;75.53%
C01890;75.43%
