motivo_relatado;data_registro
Desemprego;15/04/2025
Desemprego / reducao de renda;22/02/2025
Outros;12/10/2025
Desemprego;25/05/2025
Problemas de saude na familia;16/05/2025
Problema de saude;31/05/2025
Problemas de saúde;07/12/2025
Problemas de saúde;09/06/2025
Reducao de renda;16/11/2025
Desemprego;20/07/2025
Problema de saude;18/02/2026
Boleto nao chegou;12/02/2025
Desemprego / reducao de renda;18/02/2026
Discordância do valor;04/03/2026
Desemprego / reducao de renda;30/12/2025
Problemas de saúde;21/11/2025
Nao recebeu o boleto;20/03/2025
Separacao / divorcio;16/11/2025
Problema de saude;19/10/2025
Nao recebeu o boleto;03/11/2025
Problemas de saude na familia;14/02/2026
Mudanca de endereco;22/06/2025
Discordancia do valor;06/08/2025
Separacao / divorcio;03/04/2025
Perda de emprego;16/08/2025
Esqueceu o vencimento;02/04/2025
Desemprego / reducao de renda;07/07/2025
Perda de emprego;07/03/2025
Separacao / divorcio;21/02/2025
Problemas de saúde;24/02/2025
Problemas de saúde;20/01/2026
Problema de saude;05/05/2025
Outros;29/12/2025
Problema de saude;23/12/2025
Outros;07/04/2025
Reducao de renda;13/06/2025
Esquecimento;27/09/2025
Nao recebeu o boleto ;22/01/2026
Nao recebeu o boleto ;06/01/2026
Desemprego;25/11/2025
Problemas de saúde;01/09/2025
Desemprego / reducao de renda;14/12/2025
Esquecimento;22/02/2025
Esqueceu o vencimento;10/04/2025
Problema de saude;01/07/2025
Separacao / divorcio;19/05/2025
Problema de saude;30/10/2025
Esquecimento;15/12/2025
Problemas de saúde;31/03/2025
Problema de saude;17/05/2025
Mudanca de endereco;09/09/2025
Boleto nao chegou;09/02/2025
Reducao de renda;24/02/2025
Discordancia do valor;18/12/2025
Reducao de renda;31/07/2025
Problemas de saúde;12/03/2026
Separacao / divorcio;17/12/2025
Esqueceu o vencimento;05/07/2025
Nao recebeu o boleto;08/01/2026
Nao recebeu o boleto ;22/02/2026
Esquecimento;01/08/2025
Nao recebeu o boleto;12/07/2025
Problemas de saúde;07/11/2025
Discordância do valor;01/04/2025
Separacao / divorcio;06/07/2025
Nao recebeu o boleto;10/01/2026
Problemas de saude na familia;03/05/2025
Boleto nao chegou;31/03/2025
Discordância do valor;26/03/2025
Problema de saude;15/11/2025
Nao recebeu o boleto ;21/07/2025
Discordância do valor;13/02/2025
Outros;24/05/2025
Mudanca de endereco;17/12/2025
Separacao / divorcio;18/03/2025
Outros;06/12/2025
Problemas de saude na familia;16/01/2026
Nao recebeu o boleto;08/10/2025
Perda de emprego;30/06/2025
Desemprego / reducao de renda;05/11/2025
Nao recebeu o boleto ;05/05/2025
Reducao de renda;23/08/2025
Boleto nao chegou;22/03/2025
Nao recebeu o boleto;22/01/2026
Discordância do valor;26/08/2025
Problema de saude;28/11/2025
Perda de emprego;03/09/2025
Outros;08/02/2026
Discordância do valor;25/02/2026
Boleto nao chegou;23/01/2026
Discordância do valor;02/12/2025
Problemas de saúde;04/04/2025
Nao recebeu o boleto;24/07/2025
Discordancia do valor;22/02/2026
Nao recebeu o boleto ;03/07/2025
Perda de emprego;26/01/2026
Separacao / divorcio;17/03/2025
Desemprego;24/05/2025
Problemas de saude na familia;26/06/2025
