id_contrato;data_ocorrencia;tipo_ocorrencia;canal
C00001;24/11/2025;Segunda via de boleto;WhatsApp
C00003;22/08/2025;Atualizacao cadastral;Loja
C00005;09/03/2025;Segunda via de boleto;Loja
C00005;20/09/2025;Negociacao de divida;Telefone
C00007;27/02/2026;Duvida sobre produto;Site
C00009;18/03/2025;Atualizacao cadastral;Telefone
C00013;08/01/2026;Segunda via de boleto;Loja
C00016;05/11/2025;Atualizacao cadastral;Site
C00016;23/02/2026;Negociacao de divida;Telefone
C00017;24/02/2026;Negociacao de divida;Telefone
C00018;04/12/2025;Segunda via de boleto;Telefone
C00019;08/03/2026;Negociacao de divida;Telefone
C00020;15/01/2026;Reclamacao de entrega;WhatsApp
C00021;31/08/2025;Segunda via de boleto;Loja
C00021;08/09/2025;Segunda via de boleto;Loja
C00022;17/01/2026;Atualizacao cadastral;Loja
C00023;22/11/2025;Segunda via de boleto;WhatsApp
C00024;14/02/2026;Reclamacao de entrega;Telefone
C00026;13/10/2025;Atualizacao cadastral;Telefone
C00026;06/11/2025;Reclamacao de entrega;Loja
C00026;29/11/2025;Segunda via de boleto;Loja
C00028;25/03/2025;Segunda via de boleto;WhatsApp
C00028;09/04/2025;Segunda via de boleto;WhatsApp
C00028;25/05/2025;Duvida sobre produto;Site
C00028;06/07/2025;Reclamacao de entrega;WhatsApp
C00028;25/07/2025;Segunda via de boleto;Telefone
C00029;06/08/2025;Segunda via de boleto;Loja
C00029;11/10/2025;Segunda via de boleto;Telefone
C00029;19/11/2025;Atualizacao cadastral;Telefone
C00030;23/02/2026;Duvida sobre produto;Site
C00031;23/01/2026;Segunda via de boleto;Loja
C00031;25/01/2026;Duvida sobre produto;WhatsApp
C00032;23/09/2024;Reclamacao de entrega;WhatsApp
C00032;29/10/2024;Reclamacao de entrega;Site
C00032;04/04/2025;Negociacao de divida;WhatsApp
C00033;25/10/2025;Duvida sobre produto;WhatsApp
C00034;11/09/2025;Negociacao de divida;Telefone
C00036;12/08/2025;Negociacao de divida;WhatsApp
C00038;04/12/2025;Segunda via de boleto;Loja
C00039;29/01/2026;Negociacao de divida;WhatsApp
C00040;01/05/2025;Segunda via de boleto;Telefone
C00041;15/02/2025;Reclamacao de entrega;Telefone
C00041;24/01/2026;Solicitacao de assistencia tecnica;Telefone
C00043;05/02/2026;Solicitacao de assistencia tecnica;Telefone
C00043;21/02/2026;Negociacao de divida;WhatsApp
C00044;20/08/2025;Segunda via de boleto;Loja
C00045;22/07/2025;Segunda via de boleto;WhatsApp
C00046;22/10/2025;Negociacao de divida;WhatsApp
C00047;09/07/2025;Duvida sobre produto;Telefone
C00048;24/01/2026;Atualizacao cadastral;Loja
C00050;31/10/2025;Segunda via de boleto;Loja
C00051;11/01/2026;Atualizacao cadastral;WhatsApp
C00052;29/05/2025;Solicitacao de assistencia tecnica;Loja
C00052;05/01/2026;Segunda via de boleto;Loja
C00052;12/02/2026;Negociacao de divida;Telefone
C00053;29/10/2025;Segunda via de boleto;WhatsApp
C00053;06/12/2025;Solicitacao de assistencia tecnica;WhatsApp
C00055;30/11/2025;Segunda via de boleto;WhatsApp
C00055;04/03/2026;Negociacao de divida;WhatsApp
C00056;03/07/2025;Segunda via de boleto;Loja
C00056;07/07/2025;Segunda via de boleto;Telefone
C00056;22/07/2025;Segunda via de boleto;WhatsApp
C00056;17/09/2025;Segunda via de boleto;Loja
C00059;06/02/2026;Atualizacao cadastral;Site
C00060;26/12/2025;Duvida sobre produto;Loja
C00060;23/01/2026;Negociacao de divida;Telefone
C00063;14/08/2025;Segunda via de boleto;Loja
C00063;10/01/2026;Solicitacao de assistencia tecnica;Loja
C00065;31/08/2025;Solicitacao de assistencia tecnica;Loja
C00068;01/03/2026;Negociacao de divida;WhatsApp
C00069;22/07/2025;Negociacao de divida;Telefone
C00070;15/09/2025;Reclamacao de entrega;Site
C00070;30/09/2025;Atualizacao cadastral;Loja
C00070;08/01/2026;Atualizacao cadastral;WhatsApp
C00071;04/07/2025;Reclamacao de entrega;Loja
C00071;19/09/2025;Reclamacao de entrega;Telefone
C00072;07/09/2025;Segunda via de boleto;Telefone
