id_contrato;data_consulta;score;motivo_consulta
C00001;04/05/2025;600;Aprovacao de crediario
C00003;13/03/2025;878;Aprovacao de crediario
C00004;13/11/2024;689;Aprovacao de crediario
C00004;16/10/2025;274;Revisao de carteira
C00005;13/09/2024;594;Aprovacao de crediario
C00007;09/05/2025;518;Aprovacao de crediario
C00007;25/02/2026;328;Revisao de carteira
C00008;22/11/2024;714;Aprovacao de crediario
C00008;05/02/2026;681;Revisao de carteira
C00009;07/02/2025;633;Aprovacao de crediario
C00009;23/08/2025;338;Revisao de carteira
C00010;15/06/2024;730;Aprovacao de crediario
C00012;21/09/2024;824;Aprovacao de crediario
C00013;05/10/2024;450;Aprovacao de crediario
C00013;12/02/2026;186;Revisao de carteira
C00014;21/06/2025;844;Aprovacao de crediario
C00015;31/10/2025;636;Aprovacao de crediario
C00016;12/09/2024;706;Aprovacao de crediario
C00016;04/03/2026;287;Revisao de carteira
C00017;23/09/2025;529;Aprovacao de crediario
C00017;26/02/2026;253;Revisao de carteira
C00018;05/11/2025;521;Aprovacao de crediario
C00018;19/02/2026;215;Revisao de carteira
C00019;08/09/2025;754;Aprovacao de crediario
C00019;09/03/2026;265;Revisao de carteira
C00020;26/08/2025;683;Aprovacao de crediario
C00021;03/06/2025;628;Aprovacao de crediario
C00021;20/12/2025;257;Revisao de carteira
C00022;16/09/2024;579;Aprovacao de crediario
C00023;30/09/2025;721;Aprovacao de crediario
C00024;29/08/2025;729;Aprovacao de crediario
C00025;20/02/2025;851;Aprovacao de crediario
C00026;16/07/2024;694;Aprovacao de crediario
C00027;28/01/2025;581;Aprovacao de crediario
C00027;18/12/2025;279;Revisao de carteira
C00028;05/11/2024;705;Aprovacao de crediario
C00028;14/10/2025;689;Revisao de carteira
C00029;19/06/2025;662;Aprovacao de crediario
C00030;04/12/2024;711;Aprovacao de crediario
C00031;08/04/2025;622;Aprovacao de crediario
C00032;29/08/2024;490;Aprovacao de crediario
C00032;28/03/2025;307;Revisao de carteira
C00033;15/06/2025;881;Aprovacao de crediario
C00033;04/03/2026;848;Revisao de carteira
C00034;19/08/2024;657;Aprovacao de crediario
C00034;10/09/2025;305;Revisao de carteira
C00035;30/05/2025;773;Aprovacao de crediario
C00036;22/01/2025;617;Aprovacao de crediario
C00036;05/09/2025;336;Revisao de carteira
C00037;21/03/2025;957;Aprovacao de crediario
C00038;27/06/2024;781;Aprovacao de crediario
C00039;20/01/2025;647;Aprovacao de crediario
C00039;08/02/2026;300;Revisao de carteira
C00040;12/02/2025;713;Aprovacao de crediario
C00040;01/09/2025;265;Revisao de carteira
C00041;17/11/2024;738;Aprovacao de crediario
C00042;14/08/2025;665;Aprovacao de crediario
C00043;31/10/2025;645;Aprovacao de crediario
C00043;16/02/2026;382;Revisao de carteira
C00044;23/08/2024;828;Aprovacao de crediario
C00045;06/03/2025;717;Aprovacao de crediario
C00046;12/04/2025;779;Aprovacao de crediario
C00046;14/11/2025;273;Revisao de carteira
C00047;19/02/2025;793;Aprovacao de crediario
