id_contrato;inadimplente_30d;numero_compras_anteriores;valor_total_contrato;media_valor_compras_anteriores;percentual_parcelas_pagas_valor_total;percentual_valor_contrato_renda;quantidade_atendimentos_sac;media_dias_atraso;max_dias_atraso;total_parcelas_atrasadas;taxa_atrasos
C00001;0;6;1014.95;799.7866666666667;0.8000394108084141;0.1662759399149084;1;5.75;23;4;0.5
C00003;0;0;2494.27;0.0;0.8333500382877557;0.6323332192518791;1;0.3;2;2;0.2
C00004;1;2;1516.74;588.21;0.8999762648838957;1.0165204511792185;0;6.222222222222222;21;5;0.5555555555555556
C00005;1;6;9349.93;583.1116666666667;0.9166656862671699;4.192549313268733;1;3.8181818181818183;15;5;0.45454545454545453
C00007;1;4;1974.4;532.9975;0.6666531604538087;1.0608551747853465;0;3.0;23;2;0.25
C00008;0;0;3407.65;0.0;0.6666529719894942;1.0209116646943392;0;1.9166666666666667;21;3;0.25
C00009;1;2;2032.89;703.865;0.8333456310966161;0.6829983671659242;1;4.8;12;4;0.8
C00010;0;4;1323.77;681.1750000000001;0.9166320433307902;0.6629822355999179;0;0.5454545454545454;2;4;0.36363636363636365
C00012;0;0;1466.7;0.0;0.8999999999999999;0.3841650754736255;0;5.111111111111111;15;5;0.5555555555555556
C00013;1;3;3652.6;367.74333333333334;0.8333242074138969;0.9319854254483103;1;12.733333333333333;23;14;0.9333333333333333
C00014;1;6;1606.26;1367.9400000000003;0.33334578461768327;0.3435174254478263;0;2.0;10;2;0.3333333333333333
C00015;0;2;1955.35;535.02;0.111110542869563;0.9909537806608554;0;0.5;1;1;0.5
C00016;1;5;2039.37;301.91400000000004;0.8889019648224697;0.9730654350087315;1;0.8125;11;3;0.1875
C00017;1;2;3051.53;1026.25;0.2499959036942124;0.658675151041588;0;22.333333333333332;26;3;1.0
C00018;1;1;4393.32;933.33;0.09999954476341355;3.105324540384656;1;12.0;12;1;1.0
C00019;1;5;863.86;573.51;0.4000185215196907;0.2779123597746744;0;5.75;20;3;0.75
C00020;0;3;1745.38;684.1733333333333;0.6666743058818136;0.7644011159140379;1;0.0;0;0;0.0
C00021;1;1;3670.38;2270.15;0.8333333333333334;0.39708244936641074;2;4.0;19;2;0.4
C00022;0;1;3506.19;261.64;0.666660962469233;1.6600806795261498;1;3.75;25;7;0.4375
C00023;1;4;2211.15;1021.1125000000001;0.166664405399905;0.5226650088759565;1;5.0;15;1;0.3333333333333333
C00024;0;3;2107.76;1174.6133333333335;0.40000759099707744;0.6968285401631188;0;0.0;0;0;0.0
C00025;0;4;1741.14;1202.115;0.5555555555555556;1.084971148693279;0;0.2;1;2;0.2
C00026;0;3;5571.17;576.93;0.749993268918378;0.9454743859101292;3;0.4444444444444444;2;5;0.2777777777777778
C00027;1;4;14000.0;637.95;0.9;4.115698154697334;0;13.0;21;8;0.8888888888888888
C00028;0;1;4192.32;435.49;0.8999957064346235;1.2689925718748296;5;6.333333333333333;23;4;0.4444444444444444
C00029;1;2;791.93;1769.715;0.4999684315532938;0.18699822430436178;3;7.666666666666667;26;3;0.5
C00030;0;3;989.43;367.3833333333334;0.7222441203521219;0.3393432839916041;0;2.923076923076923;18;6;0.46153846153846156
C00031;1;4;1230.8;1274.0049999999999;0.9;0.26425797143145463;2;0.5555555555555556;3;3;0.3333333333333333
C00032;1;1;3383.14;527.63;0.8333382597232158;2.4442887074633335;2;14.2;22;5;1.0
C00033;0;8;2157.57;814.50125;0.291670722155017;0.48551928062216465;1;0.0;0;0;0.0
C00034;1;2;2009.43;708.6949999999999;0.9166529811936717;1.1154019083778788;0;8.909090909090908;23;6;0.5454545454545454
C00035;0;1;1411.68;422.03;0.5833333333333334;0.8920568720379147;0;3.5714285714285716;11;5;0.7142857142857143
C00036;1;2;4252.14;703.865;0.8333333333333334;1.4489971170950133;0;14.6;21;5;1.0
C00037;0;4;1459.15;1403.0525;0.833327622245828;0.3239510415764737;0;0.8;2;2;0.4
C00038;0;1;1774.87;473.09;0.7499704203688159;0.9782185748378242;1;2.5;17;6;0.3333333333333333
C00039;1;5;4759.38;322.07;0.9166782227937251;1.6399383909281675;0;3.909090909090909;20;7;0.6363636363636364
C00040;1;2;1236.3;826.4849999999999;0.8333333333333334;0.8303780124123479;1;5.6;16;4;0.8
C00041;0;7;1012.87;844.4585714285714;0.9167119176202276;0.2651839245974604;1;0.18181818181818182;2;1;0.09090909090909091
C00042;0;8;1154.11;805.08875;0.41668471809446245;0.4797716936737697;0;0.6;2;2;0.4
C00043;1;4;2122.54;663.015;0.16666823711213924;0.7462564823767249;0;0.5;1;1;0.5
C00044;0;6;1108.75;782.315;0.8889289740698986;0.2905849176272022;1;9.6875;24;9;0.5625
C00045;0;3;4789.11;1802.1899999999998;0.8333281131567243;2.0460948214354375;1;5.7;26;5;0.5
C00046;1;3;1722.14;1268.56;0.8333236554519377;1.248950227360085;0;6.0;24;3;0.6
C00047;0;2;1988.0;750.145;0.8333501006036217;0.42519516629237514;1;0.5;2;4;0.4
C00048;1;1;5385.01;414.22;0.11111214278153615;4.107214497639405;1;8.5;10;2;1.0
C00049;1;0;1607.38;0.0;0.9166780723910959;0.3938903837011552;0;3.727272727272727;23;4;0.36363636363636365
C00050;1;0;1554.2;0.0;0.9166902586539699;0.7385267479543446;1;7.0;23;5;0.45454545454545453
C00051;0;1;1721.36;931.25;0.5833062229864758;0.5579266711611263;1;0.35714285714285715;2;3;0.21428571428571427
C00052;1;3;1523.54;499.92;0.8333223938984208;0.9492815930813613;2;2.8;22;4;0.4
C00053;0;0;1619.96;0.0;0.16667078199461716;0.8925153577036445;2;16.666666666666668;26;2;0.6666666666666666
C00054;0;1;6266.38;334.28;0.25000079790884056;1.2264870694295205;0;0.6666666666666666;2;1;0.3333333333333333
C00055;1;6;6227.43;1150.685;0.5999971095620504;2.1741618341718194;1;10.333333333333334;22;3;0.5
C00056;1;4;2169.79;628.31;0.6666635941727079;1.0562855070417736;4;14.5;24;3;0.75
C00057;0;5;1695.25;821.7180000000001;0.8333284176375166;0.7790670955882353;0;0.1;1;1;0.1
C00058;0;2;1346.61;1026.25;0.299997772183483;0.7957418142494992;0;0.6666666666666666;2;1;0.3333333333333333
C00059;0;4;2157.96;1122.4775;0.4444568017942872;0.4572201011072644;0;9.625;22;5;0.625
C00060;1;2;984.53;1323.01;0.11111901110174399;0.7267191236824234;1;12.0;24;1;0.5
C00061;0;4;4975.61;648.315;0.8333350081698526;1.0565251273514091;0;4.4;22;1;0.2
C00062;1;2;2078.83;355.415;0.22222115324485409;0.7609939488895315;0;3.75;14;2;0.5
C00063;1;3;4270.6;2007.6333333333332;0.5416615932187514;0.8652488304573425;2;5.076923076923077;19;9;0.6923076923076923
C00065;0;3;2114.69;554.2266666666667;0.8333136298937432;0.6622499757295995;1;4.7;23;6;0.6
C00068;1;8;2202.93;722.0912500000001;0.7916774477627525;0.7449302218630272;0;1.368421052631579;13;6;0.3157894736842105
C00069;1;6;1526.35;504.66833333333335;0.9166966947292562;0.3278454367764246;0;4.0;26;5;0.45454545454545453
C00070;0;5;710.93;721.626;0.624956043492327;0.27051410350561433;3;1.6666666666666667;16;7;0.4666666666666667
C00071;0;2;1244.56;929.29;0.2916854149257569;0.8962631696444646;2;2.5714285714285716;15;3;0.42857142857142855
C00072;1;1;3231.78;431.35;0.9166836851518357;1.8350708639956395;4;13.181818181818182;22;11;1.0
C00073;1;3;849.88;1120.2166666666667;0.9000211794606297;0.7024846671405663;1;10.333333333333334;26;5;0.5555555555555556
